Month,Day,Hour,BI,DI,AT,WS,PAI,CT,DCO,ACO
1,1,0,0,0,9.42,0.94,0.0,9.42,0.0,0.0
1,1,1,0,0,9.12,0.9,0.0,9.12,0.0,0.0
1,1,2,0,0,8.69,1.05,0.0,8.69,0.0,0.0
1,1,3,0,0,8.25,1.33,0.0,8.25,0.0,0.0
1,1,4,0,0,7.77,1.59,0.0,7.77,0.0,0.0
1,1,5,0,0,7.23,1.81,0.0,7.23,0.0,0.0
1,1,6,0,0,6.9,1.96,0.0,6.9,0.0,0.0
1,1,7,0,13,8.71,2.04,11.8,6.914,44.043,20.98
1,1,8,416,95,11.85,1.66,312.542,18.829,1059.547,1013.446
1,1,9,625,128,16.03,1.58,569.226,31.419,1873.394,1802.486
1,1,10,726,148,19.37,1.78,768.492,40.231,2445.021,2353.316
1,1,11,777,157,21.08,1.81,893.657,45.554,2774.053,2669.115
1,1,12,792,160,21.81,1.91,936.158,47.314,2880.84,2771.408
1,1,13,777,157,21.75,2.08,893.56,45.762,2770.748,2665.947
1,1,14,726,148,20.91,2.36,768.31,41.011,2434.762,2343.455
1,1,15,625,128,19.39,2.64,568.988,33.826,1850.707,1780.567
1,1,16,416,94,16.6,2.75,311.241,24.166,1029.147,983.863
1,1,17,0,6,13.94,2.9,5.434,13.166,19.734,0.0
1,1,18,0,0,12.91,2.97,0.0,12.91,0.0,0.0
1,1,19,0,0,12.04,2.93,0.0,12.04,0.0,0.0
1,1,20,0,0,11.28,2.77,0.0,11.28,0.0,0.0
1,1,21,0,0,10.66,2.55,0.0,10.66,0.0,0.0
1,1,22,0,0,10.12,2.35,0.0,10.12,0.0,0.0
1,1,23,0,0,9.66,2.16,0.0,9.66,0.0,0.0
1,2,0,0,0,9.27,2.01,0.0,9.27,0.0,0.0
1,2,1,0,0,8.89,1.92,0.0,8.89,0.0,0.0
1,2,2,0,0,8.63,1.74,0.0,8.63,0.0,0.0
1,2,3,0,0,8.46,1.58,0.0,8.46,0.0,0.0
1,2,4,0,0,8.13,1.54,0.0,8.13,0.0,0.0
1,2,5,0,0,7.78,1.58,0.0,7.78,0.0,0.0
1,2,6,0,0,7.38,1.67,0.0,7.38,0.0,0.0
1,2,7,0,16,8.98,1.7,14.537,7.175,54.198,30.948
1,2,8,76,103,11.98,1.52,145.831,14.19,518.371,485.641
1,2,9,14,161,15.77,1.78,166.438,19.03,587.996,553.685
1,2,10,10,214,18.34,2.1,216.313,22.866,751.438,713.255
1,2,11,29,287,19.84,2.05,309.383,27.049,1053.897,1007.948
1,2,12,13,263,20.63,2.1,268.238,27.008,913.997,871.737
1,2,13,18,247,20.72,2.23,256.26,26.539,875.079,833.815
1,2,14,129,274,20.08,2.33,393.971,29.274,1326.305,1272.694
1,2,15,256,193,18.75,2.39,390.591,28.19,1312.903,1259.684
1,2,16,52,99,16.33,2.34,129.409,19.119,451.666,420.411
1,2,17,0,6,14.07,2.39,5.434,12.726,19.772,0.0
1,2,18,0,0,13.36,2.51,0.0,13.36,0.0,0.0
1,2,19,0,0,12.71,2.63,0.0,12.71,0.0,0.0
1,2,20,0,0,12.11,2.6,0.0,12.11,0.0,0.0
1,2,21,0,0,11.54,2.45,0.0,11.54,0.0,0.0
1,2,22,0,0,11.05,2.26,0.0,11.05,0.0,0.0
1,2,23,0,0,10.59,2.13,0.0,10.59,0.0,0.0
1,3,0,0,0,10.17,2.12,0.0,10.17,0.0,0.0
1,3,1,0,0,9.76,2.2,0.0,9.76,0.0,0.0
1,3,2,0,0,9.36,2.24,0.0,9.36,0.0,0.0
1,3,3,0,0,8.98,2.19,0.0,8.98,0.0,0.0
1,3,4,0,0,8.64,2.09,0.0,8.64,0.0,0.0
1,3,5,0,0,8.36,1.94,0.0,8.36,0.0,0.0
1,3,6,0,0,8.22,1.75,0.0,8.22,0.0,0.0
1,3,7,0,16,10.04,1.48,14.538,8.172,53.964,30.719
1,3,8,409,92,12.98,1.07,304.762,20.501,1024.415,979.258
1,3,9,496,156,16.9,0.82,512.229,32.952,1675.763,1611.398
1,3,10,610,204,20.35,0.91,732.147,43.339,2293.708,2207.779
1,3,11,255,319,21.86,1.31,579.02,39.707,1853.084,1782.864
1,3,12,687,229,22.46,1.85,911.003,46.599,2814.192,2707.575
1,3,13,778,158,22.36,2.37,897.138,45.482,2786.013,2680.576
1,3,14,728,148,21.58,2.63,772.011,41.095,2445.728,2353.995
1,3,15,622,131,20.12,2.8,572.29,34.349,1857.477,1787.109
1,3,16,411,94,17.5,2.89,310.396,24.914,1023.873,978.73
1,3,17,0,7,14.89,3.11,6.342,14.15,22.928,0.251
1,3,18,0,0,13.86,3.31,0.0,13.86,0.0,0.0
1,3,19,0,0,12.88,3.36,0.0,12.88,0.0,0.0
1,3,20,0,0,11.97,3.4,0.0,11.97,0.0,0.0
1,3,21,0,0,11.1,3.45,0.0,11.1,0.0,0.0
1,3,22,0,0,10.29,3.53,0.0,10.29,0.0,0.0
1,3,23,0,0,9.55,3.6,0.0,9.55,0.0,0.0
1,4,0,0,0,8.93,3.66,0.0,8.93,0.0,0.0
1,4,1,0,0,8.37,3.72,0.0,8.37,0.0,0.0
1,4,2,0,0,7.81,3.66,0.0,7.81,0.0,0.0
1,4,3,0,0,7.33,3.61,0.0,7.33,0.0,0.0
1,4,4,0,0,6.9,3.55,0.0,6.9,0.0,0.0
1,4,5,0,0,6.52,3.51,0.0,6.52,0.0,0.0
1,4,6,0,0,6.22,3.47,0.0,6.22,0.0,0.0
1,4,7,0,15,8.09,3.37,13.625,6.646,50.912,27.723
1,4,8,225,105,11.47,2.87,229.25,15.404,798.084,758.754
1,4,9,196,193,15.16,2.35,341.089,22.914,1176.33,1127.016
1,4,10,623,203,19.03,2.94,741.078,35.897,2410.45,2320.082
1,4,11,778,157,20.62,2.82,894.586,42.166,2825.901,2718.792
1,4,12,794,160,21.39,2.69,939.295,44.617,2931.504,2819.906
1,4,13,779,158,21.35,2.7,898.857,43.736,2816.749,2710.025
1,4,14,730,148,20.63,2.72,774.69,40.036,2467.576,2374.993
1,4,15,631,128,19.09,2.61,576.372,33.78,1876.053,1805.055
1,4,16,428,96,15.87,2.29,321.246,24.239,1063.098,1016.901
1,4,17,0,8,13.28,2.24,7.25,12.591,26.394,3.654
1,4,18,0,0,12.42,2.28,0.0,12.42,0.0,0.0
1,4,19,0,0,11.57,2.4,0.0,11.57,0.0,0.0
1,4,20,0,0,10.7,2.73,0.0,10.7,0.0,0.0
1,4,21,0,0,9.83,2.96,0.0,9.83,0.0,0.0
1,4,22,0,0,9.02,3.0,0.0,9.02,0.0,0.0
1,4,23,0,0,8.29,2.92,0.0,8.29,0.0,0.0
1,5,0,0,0,7.68,2.78,0.0,7.68,0.0,0.0
1,5,1,0,0,7.13,2.64,0.0,7.13,0.0,0.0
1,5,2,0,0,6.65,2.4,0.0,6.65,0.0,0.0
1,5,3,0,0,6.28,2.2,0.0,6.28,0.0,0.0
1,5,4,0,0,5.89,2.15,0.0,5.89,0.0,0.0
1,5,5,0,0,5.47,2.24,0.0,5.47,0.0,0.0
1,5,6,0,0,5.14,2.34,0.0,5.14,0.0,0.0
1,5,7,0,15,7.07,2.31,13.625,5.397,51.188,27.994
1,5,8,413,94,10.66,1.81,307.562,17.35,1048.322,1002.523
1,5,9,602,131,14.48,1.3,552.178,30.181,1827.826,1758.456
1,5,10,689,155,18.34,1.35,745.029,40.048,2372.623,2283.706
1,5,11,727,172,20.32,1.06,865.691,47.224,2664.022,2563.612
1,5,12,771,167,21.48,0.79,926.364,51.98,2780.977,2675.75
1,5,13,757,164,21.78,0.66,886.676,52.244,2656.832,2556.714
1,5,14,646,171,21.21,0.67,732.344,47.097,2250.037,2165.739
1,5,15,602,134,19.57,0.66,561.8,39.867,1774.812,1707.21
1,5,16,427,96,16.24,0.69,321.529,28.144,1045.071,999.36
1,5,17,0,8,13.64,0.89,7.25,13.204,26.322,3.583
1,5,18,0,0,12.74,1.05,0.0,12.74,0.0,0.0
1,5,19,0,0,11.95,1.1,0.0,11.95,0.0,0.0
1,5,20,0,0,11.6,1.18,0.0,11.6,0.0,0.0
1,5,21,0,0,11.08,1.23,0.0,11.08,0.0,0.0
1,5,22,0,0,10.52,1.16,0.0,10.52,0.0,0.0
1,5,23,0,0,10.04,1.03,0.0,10.04,0.0,0.0
1,6,0,0,0,9.66,0.87,0.0,9.66,0.0,0.0
1,6,1,0,0,9.38,0.7,0.0,9.38,0.0,0.0
1,6,2,0,0,9.23,0.48,0.0,9.23,0.0,0.0
1,6,3,0,0,8.85,0.57,0.0,8.85,0.0,0.0
1,6,4,0,0,8.36,0.82,0.0,8.36,0.0,0.0
1,6,5,0,0,8.02,1.01,0.0,8.02,0.0,0.0
1,6,6,0,0,7.8,1.1,0.0,7.8,0.0,0.0
1,6,7,0,14,9.65,1.2,12.713,7.591,47.31,24.187
1,6,8,413,93,12.89,1.22,305.872,20.217,1028.52,983.253
1,6,9,601,132,16.13,1.04,552.099,32.609,1806.114,1737.471
1,6,10,689,156,20.47,0.75,745.81,44.836,2317.578,2230.751
1,6,11,752,165,23.55,0.53,880.454,53.789,2616.061,2517.592
1,6,12,724,184,24.94,0.76,901.978,54.759,2667.344,2566.798
1,6,13,712,179,25.15,0.94,863.476,52.926,2577.948,2481.007
1,6,14,712,153,24.46,1.02,767.761,49.099,2333.801,2246.36
1,6,15,635,130,22.88,0.88,583.353,42.705,1816.365,1747.38
1,6,16,436,97,19.53,0.45,327.602,32.735,1041.746,996.125
1,6,17,47,22,16.97,0.76,38.543,17.817,127.738,103.109
1,6,18,0,0,16.01,1.27,0.0,16.01,0.0,0.0
1,6,19,0,0,15.08,1.59,0.0,15.08,0.0,0.0
1,6,20,0,0,14.18,1.67,0.0,14.18,0.0,0.0
1,6,21,0,0,13.32,1.43,0.0,13.32,0.0,0.0
1,6,22,0,0,12.51,0.94,0.0,12.51,0.0,0.0
